pickup_date,pickup_day_of_week,pickup_hour,dropoff_date,dropoff_day_of_week,dropoff_hour,passenger_count,trip_distance,RatecodeID,pickup_location,dropoff_location,payment_type,tip_amount,total_amount
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,2,2.68,1,Manhattan,Manhattan,2,0.0,17.3
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,0.5,1,Manhattan,Manhattan,1,1.65,9.95
2019-06-12,Wednesday,5,2019-06-12,Wednesday,5,1,7.72,1,Manhattan,Manhattan,2,0.0,33.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,4.85,1,Manhattan,Manhattan,2,0.0,25.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,1.7,1,Manhattan,Manhattan,1,1.0,12.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,3.5,1,Manhattan,Manhattan,1,4.55,27.35
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,2.6,1,Manhattan,Bronx,1,0.0,12.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,11,2,23.1,1,Manhattan,Brooklyn,1,0.0,73.42
2019-06-12,Wednesday,9,2019-06-12,Wednesday,10,1,17.45,1,Manhattan,Queens,1,5.0,63.92
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,0.8,1,Manhattan,Manhattan,1,1.95,9.75
2019-06-12,Wednesday,10,2019-06-12,Wednesday,11,1,1.2,1,Manhattan,Manhattan,2,0.0,10.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,1.9,1,Manhattan,Manhattan,1,3.05,18.35
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,5.77,1,Queens,Queens,2,0.0,18.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,2,2.14,1,Manhattan,Manhattan,1,1.0,19.3
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,1.21,1,Manhattan,Manhattan,2,0.0,11.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,2.2,1,Manhattan,Manhattan,1,2.75,16.55
2019-06-12,Wednesday,10,2019-06-12,Wednesday,11,1,2.2,1,Manhattan,Manhattan,2,0.0,18.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,1.72,1,Brooklyn,Brooklyn,1,0.0,8.3
2019-06-12,Wednesday,10,2019-06-12,Wednesday,11,1,2.5,1,Manhattan,Manhattan,1,5.2,26.0
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,2,1.38,1,Manhattan,Manhattan,1,2.46,14.76
2019-06-12,Wednesday,10,2019-06-12,Wednesday,11,1,3.8,1,Manhattan,Manhattan,1,4.85,29.15
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,1.56,1,Manhattan,Manhattan,2,0.0,9.3
2019-06-12,Wednesday,10,2019-06-12,Wednesday,11,1,10.1,1,Manhattan,Queens,1,9.25,55.67
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,1.4,1,Manhattan,Manhattan,1,2.55,15.35
2019-06-12,Wednesday,10,2019-06-12,Wednesday,11,1,1.57,1,Manhattan,Manhattan,1,2.76,16.56
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,1.1,1,Manhattan,Manhattan,2,0.0,10.3
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,0.88,1,Manhattan,Manhattan,1,2.16,12.96
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,3,0.32,1,Manhattan,Manhattan,1,1.0,8.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,2.29,1,Manhattan,Manhattan,2,0.0,15.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,0.48,1,Manhattan,Manhattan,1,0.78,8.58
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,1.35,1,Manhattan,Manhattan,1,4.44,19.24
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,0.95,1,Manhattan,Manhattan,1,1.96,11.76
2019-06-12,Wednesday,10,2019-06-12,Wednesday,11,1,4.76,1,Manhattan,Manhattan,1,9.54,41.34
2019-06-12,Wednesday,10,2019-06-12,Wednesday,11,1,6.39,1,Queens,Manhattan,1,0.0,29.3
2019-06-12,Wednesday,10,2019-06-12,Wednesday,11,1,10.52,1,Manhattan,Queens,1,4.0,43.42
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,1.11,1,Manhattan,Manhattan,2,0.0,9.3
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,1.67,1,Manhattan,Manhattan,2,0.0,12.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,5,8.83,1,Queens,Manhattan,1,8.08,48.5
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,0,0.5,1,Manhattan,Manhattan,2,0.0,8.3
