pickup_date,pickup_day_of_week,pickup_hour,dropoff_date,dropoff_day_of_week,dropoff_hour,passenger_count,trip_distance,RatecodeID,pickup_location,dropoff_location,total_amount
2019-06-04,Tuesday,20,2019-06-04,Tuesday,20,2,16.37,1,LaGuardia Airport,Erasmus,52.8
2019-06-04,Tuesday,20,2019-06-04,Tuesday,20,1,1.86,1,Clinton East,Upper West Side North,15.36
2019-06-04,Tuesday,20,2019-06-04,Tuesday,20,1,3.57,1,Financial District South,East Chelsea,20.76
2019-06-04,Tuesday,20,2019-06-04,Tuesday,20,1,1.33,1,Midtown East,Gramercy,12.36
2019-06-04,Tuesday,20,2019-06-04,Tuesday,20,1,1.68,1,NV,NV,10.56
2019-06-04,Tuesday,20,2019-06-04,Tuesday,20,2,0.5,1,Yorkville West,Yorkville East,11.15
2019-06-04,Tuesday,20,2019-06-04,Tuesday,21,1,20.86,2,JFK Airport,Lenox Hill West,76.77
2019-06-04,Tuesday,20,2019-06-04,Tuesday,20,1,1.88,1,Little Italy/NoLiTa,East Chelsea,14.76
2019-06-04,Tuesday,20,2019-06-04,Tuesday,20,1,4.8,1,Upper West Side North,Washington Heights South,23.76
2019-06-04,Tuesday,20,2019-06-04,Tuesday,20,3,1.0,1,Midtown Center,Murray Hill,11.75
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,1.8,1,Times Sq/Theatre District,East Chelsea,12.3
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,2,1.1,1,Times Sq/Theatre District,East Chelsea,12.35
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,0.8,1,Upper West Side South,Lincoln Square East,11.8
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,2,1.01,1,TriBeCa/Civic Center,Battery Park City,9.8
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,2,2.4,1,Upper East Side South,Clinton East,17.15
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,2,1.19,1,Yorkville East,Upper East Side South,11.8
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,0.55,1,Upper East Side North,Upper East Side North,8.3
2019-06-04,Tuesday,21,2019-06-04,Tuesday,22,2,15.5,1,Upper West Side North,Midwood,59.92
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,0,2.5,1,West Chelsea/Hudson Yards,Times Sq/Theatre District,15.3
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,1.0,1,Murray Hill,Upper East Side South,9.8
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,2,0.7,1,East Chelsea,West Chelsea/Hudson Yards,9.96
2019-06-04,Tuesday,20,2019-06-04,Tuesday,21,1,7.92,1,TriBeCa/Civic Center,Flatbush/Ditmas Park,36.96
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,2,5.24,1,Union Sq,Sunnyside,29.76
2019-06-04,Tuesday,21,2019-06-04,Tuesday,22,3,5.4,1,East Chelsea,Long Island City/Queens Plaza,27.8
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,0.72,1,Gramercy,Murray Hill,11.16
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,4.8,1,Lenox Hill East,Greenwich Village South,23.76
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,0.8,1,NA,NA,65.0
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,3.3,1,TriBeCa/Civic Center,East Village,18.95
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,1.55,1,West Village,East Village,14.76
2019-06-04,Tuesday,21,2019-06-04,Tuesday,22,1,3.81,1,Greenwich Village South,Meatpacking/West Village West,20.8
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,0,1.1,1,Upper East Side South,Murray Hill,11.3
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,0.82,1,Murray Hill,UN/Turtle Bay South,9.3
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,3.7,1,Manhattanville,University Heights/Morris Heights,14.8
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,0,2.1,1,Upper West Side North,Yorkville West,15.95
2019-06-04,Tuesday,21,2019-06-04,Tuesday,22,0,7.1,1,Upper East Side South,Battery Park City,30.95
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,4.01,1,East Village,Lenox Hill West,21.96
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,2,3.41,1,Lenox Hill West,Stuy Town/Peter Cooper Village,23.16
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,1.0,1,Greenpoint,Williamsburg (North Side),8.15
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,2,0.7,1,Upper West Side South,Lincoln Square East,10.35
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,3,1.87,1,Union Sq,Upper East Side South,12.8
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,1.38,1,Midtown East,Clinton East,14.16
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,7.89,1,Lenox Hill East,Brooklyn Heights,31.56
2019-06-04,Tuesday,19,2019-06-04,Tuesday,19,5,0.52,1,Yorkville West,Yorkville East,8.8
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,3.7,1,Greenwich Village North,Lincoln Square West,18.8
2019-06-04,Tuesday,21,2019-06-04,Tuesday,22,1,1.83,1,Clinton East,Meatpacking/West Village West,14.16
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,1.1,1,Midtown East,Penn Station/Madison Sq West,12.36
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,5.1,4,Clinton East,Lower East Side,30.35
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,1.1,1,Upper East Side South,Upper East Side North,11.15
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,4.79,1,Lenox Hill East,Little Italy/NoLiTa,21.3
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,5,0.87,1,Garment District,West Chelsea/Hudson Yards,11.76
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,3,1.02,1,Times Sq/Theatre District,Upper East Side South,8.8
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,2.9,1,East Chelsea,Lincoln Square East,18.95
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,0.56,1,Lincoln Square East,Upper West Side South,9.96
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,8.14,1,Central Park,Jackson Heights,43.1
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,1.0,1,East Village,Greenwich Village North,10.3
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,18.83,1,JFK Airport,Melrose South,59.92
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,4.9,1,Midtown East,Steinway,30.9
2019-06-04,Tuesday,21,2019-06-04,Tuesday,22,1,16.6,2,Gramercy,JFK Airport,73.67
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,1.65,1,Clinton East,Upper West Side South,14.69
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,1.3,1,Penn Station/Madison Sq West,Midtown Center,12.3
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,1.49,1,Upper East Side North,Upper West Side North,12.96
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,2,0.96,1,Upper East Side North,Upper East Side South,11.76
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,2,2.06,1,Upper East Side South,Union Sq,15.96
2019-06-04,Tuesday,21,2019-06-04,Tuesday,22,0,1.4,1,Midtown Center,Lincoln Square West,13.3
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,3.54,1,Meatpacking/West Village West,Lincoln Square West,21.36
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,4.8,1,Gramercy,Yorkville East,23.75
2019-06-04,Tuesday,21,2019-06-04,Tuesday,22,2,7.07,1,LaGuardia Airport,Forest Hills,27.3
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,2.3,1,Midtown Center,East Village,19.56
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,0,3.4,1,Midtown East,Upper West Side South,23.75
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,1.54,1,Times Sq/Theatre District,Lincoln Square East,14.76
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,4.03,1,Midtown East,East Harlem North,18.8
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,4,0.06,1,Greenwich Village North,Greenwich Village North,-6.3
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,1,3.2,1,East Village,Brooklyn Heights,20.5
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,4,2.3,1,Upper West Side South,Central Harlem,13.3
2019-06-04,Tuesday,21,2019-06-04,Tuesday,21,3,2.8,1,Financial District North,Alphabet City,14.8
