pickup_date,pickup_day_of_week,pickup_hour,dropoff_date,dropoff_day_of_week,dropoff_hour,passenger_count,trip_distance,RatecodeID,pickup_location,dropoff_location,total_amount
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,2.29,1,Lincoln Square West,Midtown East,21.3
2019-06-27,Thursday,9,2019-06-27,Thursday,10,1,0.61,1,Clinton West,Clinton East,9.75
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,0.3,1,Lincoln Square East,Lincoln Square East,7.25
2019-06-27,Thursday,9,2019-06-27,Thursday,10,1,0.2,1,NV,Brooklyn Heights,4.8
2019-06-27,Thursday,9,2019-06-27,Thursday,9,2,0.7,1,Midtown Center,Upper East Side South,9.3
2019-06-27,Thursday,9,2019-06-27,Thursday,10,1,1.4,1,Penn Station/Madison Sq West,Midtown Center,16.3
2019-06-27,Thursday,9,2019-06-27,Thursday,10,1,12.69,1,LaGuardia Airport,Times Sq/Theatre District,50.92
2019-06-27,Thursday,9,2019-06-27,Thursday,9,2,0.77,1,Times Sq/Theatre District,Penn Station/Madison Sq West,11.76
2019-06-27,Thursday,9,2019-06-27,Thursday,10,2,2.22,1,Clinton East,Lenox Hill West,34.12
2019-06-27,Thursday,9,2019-06-27,Thursday,9,5,1.88,1,Midtown South,SoHo,14.76
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,1.5,1,Upper West Side South,Yorkville West,14.76
2019-06-27,Thursday,9,2019-06-27,Thursday,10,2,13.49,1,Meatpacking/West Village West,LaGuardia Airport,62.16
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,0.4,1,Bloomingdale,Morningside Heights,7.3
2019-06-27,Thursday,9,2019-06-27,Thursday,10,1,1.84,1,East Chelsea,Midtown Center,26.76
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,1.86,1,Clinton West,Lincoln Square East,15.3
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,0.22,1,Times Sq/Theatre District,Garment District,8.76
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,1.11,1,Garment District,Union Sq,15.3
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,5.1,1,Times Sq/Theatre District,Battery Park City,27.3
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,1.9,1,East Village,UN/Turtle Bay South,12.6
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,0.6,1,Clinton West,Clinton East,11.75
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,7.96,1,Lenox Hill West,Battery Park City,32.0
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,0.6,1,NV,Upper West Side North,5.75
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,1.4,1,Times Sq/Theatre District,UN/Turtle Bay South,25.55
2019-06-27,Thursday,9,2019-06-27,Thursday,9,3,2.56,1,Flatiron,TriBeCa/Civic Center,21.96
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,2.4,1,Upper East Side North,Midtown Center,17.8
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,0.6,1,Upper East Side South,Upper East Side South,9.35
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,4.9,1,Clinton West,Central Harlem,20.3
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,2.76,1,Greenwich Village North,Midtown South,27.25
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,0.96,1,Midtown East,Midtown South,19.75
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,1.44,1,Flatiron,SoHo,14.8
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,1.7,1,West Chelsea/Hudson Yards,Midtown North,14.8
2019-06-27,Thursday,9,2019-06-27,Thursday,10,1,1.3,1,Union Sq,Times Sq/Theatre District,14.16
2019-06-27,Thursday,9,2019-06-27,Thursday,10,1,4.5,1,JFK Airport,Jamaica,15.8
2019-06-27,Thursday,9,2019-06-27,Thursday,10,5,1.3,1,Midtown Center,Upper East Side North,12.3
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,2.23,1,East Village,Midtown Center,20.16
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,0.8,1,Yorkville West,Upper East Side North,9.95
2019-06-27,Thursday,9,2019-06-27,Thursday,9,2,0.9,1,Midtown Center,Clinton East,10.8
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,1.0,1,UN/Turtle Bay South,Murray Hill,13.8
