pickup_date,pickup_day_of_week,pickup_hour,dropoff_date,dropoff_day_of_week,dropoff_hour,passenger_count,trip_distance,RatecodeID,pickup_location,dropoff_location,total_amount
2019-06-19,Wednesday,18,2019-06-19,Wednesday,19,1,0.97,1,Midtown Center,Midtown North,12.96
2019-06-19,Wednesday,19,2019-06-19,Wednesday,20,1,4.5,1,Greenwich Village South,East Williamsburg,30.95
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.7,1,Upper East Side South,Yorkville East,15.95
2019-06-19,Wednesday,19,2019-06-19,Wednesday,20,1,0.74,1,Lincoln Square East,Midtown North,11.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,5,1.32,1,Midtown Center,Union Sq,14.76
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,3,1.42,1,Flatiron,Gramercy,15.36
2019-06-19,Wednesday,19,2019-06-19,Wednesday,20,1,6.68,1,Williamsburg (North Side),Midtown East,42.96
2019-06-19,Wednesday,19,2019-06-19,Wednesday,20,1,12.5,1,Penn Station/Madison Sq West,Fresh Meadows,56.67
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,0.9,1,Upper East Side North,Upper East Side South,13.3
2019-06-19,Wednesday,20,2019-06-19,Wednesday,20,1,1.45,1,Midtown Center,Union Sq,14.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.7,1,Yorkville East,East Harlem South,12.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.86,1,Upper West Side South,Clinton West,18.5
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,0.94,1,Upper West Side North,Upper West Side South,12.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,20,1,0.75,1,Midtown Center,Midtown South,14.12
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.78,1,Central Park,Sutton Place/Turtle Bay North,15.96
2019-06-19,Wednesday,18,2019-06-19,Wednesday,18,3,0.51,1,Midtown East,Midtown East,9.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,0.8,1,Lincoln Square East,Times Sq/Theatre District,16.6
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,6,1.18,1,Midtown Center,Midtown North,18.96
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,0.48,1,East Chelsea,Garment District,12.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.7,1,Union Sq,SoHo,12.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,3.2,1,Upper East Side South,East Chelsea,26.75
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.5,1,Midtown Center,West Chelsea/Hudson Yards,15.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,0.89,1,Midtown East,Gramercy,10.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.13,1,Upper East Side South,Lenox Hill West,13.56
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.4,1,Times Sq/Theatre District,Upper East Side South,16.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.58,1,Upper East Side South,UN/Turtle Bay South,15.96
2019-06-19,Wednesday,20,2019-06-19,Wednesday,20,1,1.16,1,Midtown East,Garment District,16.0
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,3.12,1,Brooklyn Heights,Lower East Side,20.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.0,1,Upper West Side North,Manhattan Valley,11.16
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,2.8,1,TriBeCa/Civic Center,Lower East Side,18.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,0.7,1,Midtown Center,Sutton Place/Turtle Bay North,11.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,2,1.5,1,Garment District,Murray Hill,20.75
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,3,5.31,1,Midtown South,Financial District North,27.96
2019-06-19,Wednesday,18,2019-06-19,Wednesday,19,6,2.15,1,Midtown Center,Central Park,18.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,3.65,1,East Chelsea,Two Bridges/Seward Park,26.76
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,0.91,1,Lenox Hill East,Sutton Place/Turtle Bay North,12.25
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,0.0,1,Greenwich Village South,Greenwich Village North,11.75
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,3,1.16,1,SoHo,East Village,12.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.5,1,Times Sq/Theatre District,Flatiron,15.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.2,1,Midtown South,Midtown North,17.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.76,1,Greenwich Village South,TriBeCa/Civic Center,14.76
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.34,1,Midtown South,Midtown East,17.16
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,3.62,1,Upper East Side South,Manhattan Valley,22.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,20,1,10.2,1,LaGuardia Airport,Greenwich Village South,53.27
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,0,3.5,1,Lenox Hill East,Clinton East,20.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.09,1,East Chelsea,Midtown South,11.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,2.7,1,Brooklyn Heights,Park Slope,16.0
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,5,2.1,1,Midtown East,Yorkville West,16.56
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.81,1,Upper East Side North,Lincoln Square West,15.38
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,0.5,1,West Chelsea/Hudson Yards,East Chelsea,9.95
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,2,1.09,1,Flatiron,West Village,11.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,0.79,1,East Village,Gramercy,11.16
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.34,1,Greenwich Village North,Flatiron,12.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,0.15,1,Upper East Side South,Upper East Side South,8.76
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,2,0.91,1,Manhattan Valley,Upper West Side South,12.36
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,0.5,1,Midtown East,Midtown East,8.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,0.98,1,Battery Park City,Battery Park City,12.96
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.91,1,Greenwich Village North,UN/Turtle Bay South,15.91
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,2,0.89,1,World Trade Center,SoHo,10.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,20,1,2.3,1,Clinton East,Meatpacking/West Village West,25.38
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.4,1,Union Sq,West Village,14.76
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.47,1,Union Sq,East Village,12.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,20,4,1.4,1,Clinton East,Murray Hill,21.35
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.21,1,Midtown East,Midtown North,17.76
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.4,1,Clinton East,West Chelsea/Hudson Yards,14.15
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,5,0.58,1,Times Sq/Theatre District,Penn Station/Madison Sq West,9.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,5.12,1,East Chelsea,East Chelsea,23.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,2.81,1,Upper West Side North,Clinton East,22.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,2,0.38,1,Upper East Side South,Central Park,9.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,2.25,1,Lenox Hill West,Clinton West,18.96
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,4,1.86,1,Flatiron,Clinton East,21.63
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,3,0.53,1,Upper West Side South,Upper West Side North,8.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,2,1.54,1,Midtown South,Sutton Place/Turtle Bay North,17.16
2019-06-19,Wednesday,19,2019-06-19,Wednesday,20,1,0.9,1,Upper East Side South,Sutton Place/Turtle Bay North,14.69
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,0.71,1,NV,NV,12.96
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,4.67,1,Penn Station/Madison Sq West,Brooklyn Heights,23.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,2,0.4,1,Times Sq/Theatre District,Times Sq/Theatre District,11.3
2019-06-19,Wednesday,20,2019-06-19,Wednesday,21,1,2.7,1,Morningside Heights,Lincoln Square East,18.3
2019-06-19,Wednesday,20,2019-06-19,Wednesday,20,1,1.34,1,Union Sq,Kips Bay,15.3
2019-06-19,Wednesday,20,2019-06-19,Wednesday,21,1,1.56,1,Midtown East,Union Sq,16.44
2019-06-19,Wednesday,20,2019-06-19,Wednesday,21,1,4.1,1,Greenwich Village South,Lincoln Square East,26.5
2019-06-19,Wednesday,20,2019-06-19,Wednesday,20,6,3.42,1,Penn Station/Madison Sq West,Upper East Side North,28.56
2019-06-19,Wednesday,20,2019-06-19,Wednesday,20,1,1.38,1,Gramercy,Times Sq/Theatre District,14.8
2019-06-19,Wednesday,20,2019-06-19,Wednesday,20,1,0.8,1,Clinton East,Murray Hill,10.3
2019-06-19,Wednesday,20,2019-06-19,Wednesday,20,1,0.5,1,Yorkville West,East Harlem South,9.35
2019-06-19,Wednesday,20,2019-06-19,Wednesday,20,1,0.69,1,Upper East Side North,Yorkville East,8.8
2019-06-19,Wednesday,20,2019-06-19,Wednesday,21,1,7.02,1,Washington Heights South,Clinton East,42.3
2019-06-19,Wednesday,20,2019-06-19,Wednesday,21,2,2.81,1,Midtown South,Two Bridges/Seward Park,20.47
2019-06-19,Wednesday,20,2019-06-19,Wednesday,20,1,1.82,1,Garment District,Sutton Place/Turtle Bay North,16.3
2019-06-19,Wednesday,20,2019-06-19,Wednesday,21,1,3.3,1,Union Sq,Lincoln Square East,22.55
2019-06-19,Wednesday,20,2019-06-19,Wednesday,20,1,3.78,1,East Village,Bedford,23.76
2019-06-19,Wednesday,20,2019-06-19,Wednesday,20,1,1.1,1,Lincoln Square East,Upper East Side South,14.0
2019-06-19,Wednesday,20,2019-06-19,Wednesday,20,2,0.41,1,Upper West Side North,Manhattan Valley,4.8
