pickup_date,pickup_day_of_week,pickup_hour,dropoff_date,dropoff_day_of_week,dropoff_hour,passenger_count,trip_distance,RatecodeID,pickup_location,dropoff_location,payment_type,tip_amount,total_amount
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,2.0,1,Manhattan,Manhattan,1,2.0,17.3
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,1.53,1,Manhattan,Manhattan,1,2.0,12.3
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,1.5,1,Manhattan,Manhattan,1,1.5,13.8
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,1.28,1,Manhattan,Manhattan,1,2.26,13.56
2019-06-01,Saturday,0,2019-06-01,Saturday,0,4,3.35,1,Manhattan,Manhattan,1,4.06,24.36
2019-06-01,Saturday,0,2019-06-01,Saturday,0,3,1.0,1,Manhattan,Manhattan,1,1.8,11.1
2019-06-01,Saturday,0,2019-06-01,Saturday,1,2,1.4,1,Manhattan,Manhattan,1,2.45,14.75
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,2.8,1,Manhattan,Manhattan,1,2.85,17.15
2019-06-01,Saturday,0,2019-06-01,Saturday,1,1,6.95,1,Manhattan,Queens,1,7.58,37.88
2019-06-01,Saturday,0,2019-06-01,Saturday,0,3,1.04,1,Manhattan,Manhattan,2,0.0,7.8
2019-06-01,Saturday,0,2019-06-01,Saturday,1,1,10.5,1,Manhattan,Manhattan,1,8.35,50.15
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,1.9,1,Manhattan,Manhattan,1,2.65,15.95
2019-05-31,Friday,23,2019-06-01,Saturday,0,5,1.89,1,Manhattan,Manhattan,1,3.36,20.16
2019-06-01,Saturday,0,2019-06-01,Saturday,1,2,2.6,1,Manhattan,Manhattan,1,3.05,18.35
2019-06-01,Saturday,0,2019-06-01,Saturday,1,1,4.43,1,Manhattan,Queens,1,5.06,30.36
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,2.26,1,Manhattan,Manhattan,1,2.86,17.16
2019-06-01,Saturday,0,2019-06-01,Saturday,1,1,4.51,1,Manhattan,Brooklyn,1,4.06,24.36
