pickup_date,pickup_day_of_week,pickup_hour,dropoff_date,dropoff_day_of_week,dropoff_hour,passenger_count,trip_distance,RatecodeID,pickup_location,dropoff_location,total_amount
2019-06-08,Saturday,11,2019-06-08,Saturday,11,1,1.6,1,Kips Bay,Sutton Place/Turtle Bay North,12.95
2019-06-08,Saturday,11,2019-06-08,Saturday,11,1,6.34,1,Penn Station/Madison Sq West,Williamsburg (North Side),39.5
2019-06-08,Saturday,11,2019-06-08,Saturday,11,1,0.3,1,Midtown North,Midtown North,7.55
2019-06-08,Saturday,11,2019-06-08,Saturday,11,2,1.22,1,Upper West Side South,Lincoln Square East,12.3
2019-06-08,Saturday,11,2019-06-08,Saturday,11,2,1.32,1,Upper West Side South,Lincoln Square East,10.8
2019-06-08,Saturday,11,2019-06-08,Saturday,11,1,0.97,1,Upper West Side South,Lincoln Square West,10.56
2019-06-08,Saturday,11,2019-06-08,Saturday,11,1,0.37,1,Midtown East,Midtown East,8.16
2019-06-08,Saturday,11,2019-06-08,Saturday,12,1,1.29,1,Kips Bay,Penn Station/Madison Sq West,16.56
2019-06-08,Saturday,11,2019-06-08,Saturday,12,1,4.18,1,Greenwich Village North,Upper East Side North,21.8
2019-06-08,Saturday,11,2019-06-08,Saturday,11,1,4.3,1,Lenox Hill East,Lower East Side,19.3
2019-06-08,Saturday,11,2019-06-08,Saturday,11,1,0.27,1,Times Sq/Theatre District,Times Sq/Theatre District,10.56
2019-06-08,Saturday,11,2019-06-08,Saturday,11,1,1.48,1,Upper West Side North,Lincoln Square West,14.16
2019-06-08,Saturday,11,2019-06-08,Saturday,11,3,0.84,1,Upper West Side South,Central Park,10.56
2019-06-08,Saturday,11,2019-06-08,Saturday,11,1,0.75,1,Upper East Side South,Lenox Hill West,9.96
2019-06-08,Saturday,11,2019-06-08,Saturday,12,2,5.37,1,TriBeCa/Civic Center,Upper West Side South,27.96
2019-06-08,Saturday,11,2019-06-08,Saturday,11,1,2.48,1,Midtown Center,Hudson Sq,14.3
2019-06-08,Saturday,11,2019-06-08,Saturday,12,1,4.44,1,Central Park,Upper East Side South,25.3
2019-06-08,Saturday,11,2019-06-08,Saturday,12,1,3.1,1,Union Sq,Lenox Hill West,21.36
2019-06-08,Saturday,11,2019-06-08,Saturday,11,1,1.2,1,Upper East Side South,Lincoln Square East,11.8
2019-06-08,Saturday,11,2019-06-08,Saturday,11,1,3.85,1,Greenwich Village North,Brooklyn Heights,23.16
2019-06-08,Saturday,11,2019-06-08,Saturday,12,1,1.3,1,Meatpacking/West Village West,Gramercy,14.85
2019-06-08,Saturday,11,2019-06-08,Saturday,11,3,1.2,1,Lenox Hill West,Yorkville East,13.55
