pickup_date,pickup_day_of_week,pickup_hour,dropoff_date,dropoff_day_of_week,dropoff_hour,passenger_count,trip_distance,RatecodeID,pickup_location,dropoff_location,payment_type,tip_amount,total_amount
2019-06-19,Wednesday,18,2019-06-19,Wednesday,19,1,0.97,1,Manhattan,Manhattan,1,2.16,12.96
2019-06-19,Wednesday,19,2019-06-19,Wednesday,20,1,4.5,1,Manhattan,Brooklyn,1,5.15,30.95
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.7,1,Manhattan,Manhattan,1,2.65,15.95
2019-06-19,Wednesday,19,2019-06-19,Wednesday,20,1,0.74,1,Manhattan,Manhattan,2,0.0,11.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,5,1.32,1,Manhattan,Manhattan,1,2.46,14.76
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,3,1.42,1,Manhattan,Manhattan,1,2.56,15.36
2019-06-19,Wednesday,19,2019-06-19,Wednesday,20,1,6.68,1,Brooklyn,Manhattan,1,7.16,42.96
2019-06-19,Wednesday,19,2019-06-19,Wednesday,20,1,12.5,1,Manhattan,Queens,1,10.25,56.67
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,0.9,1,Manhattan,Manhattan,1,2.0,13.3
2019-06-19,Wednesday,20,2019-06-19,Wednesday,20,1,1.45,1,Manhattan,Manhattan,1,1.0,14.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.7,1,Manhattan,Manhattan,2,0.0,12.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.86,1,Manhattan,Manhattan,1,3.7,18.5
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,0.94,1,Manhattan,Manhattan,1,2.0,12.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,20,1,0.75,1,Manhattan,Manhattan,1,2.82,14.12
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.78,1,Manhattan,Manhattan,1,2.66,15.96
2019-06-19,Wednesday,18,2019-06-19,Wednesday,18,3,0.51,1,Manhattan,Manhattan,1,0.5,9.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,0.8,1,Manhattan,Manhattan,1,3.3,16.6
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,6,1.18,1,Manhattan,Manhattan,1,3.16,18.96
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,0.48,1,Manhattan,Manhattan,1,0.5,12.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.7,1,Manhattan,Manhattan,2,0.0,12.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,3.2,1,Manhattan,Manhattan,1,4.45,26.75
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.5,1,Manhattan,Manhattan,2,0.0,15.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,0.89,1,Manhattan,Manhattan,2,0.0,10.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.13,1,Manhattan,Manhattan,1,2.26,13.56
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.4,1,Manhattan,Manhattan,1,2.0,16.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.58,1,Manhattan,Manhattan,1,2.66,15.96
2019-06-19,Wednesday,20,2019-06-19,Wednesday,20,1,1.16,1,Manhattan,Manhattan,1,3.2,16.0
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,3.12,1,Brooklyn,Manhattan,1,2.0,20.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.0,1,Manhattan,Manhattan,1,1.86,11.16
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,2.8,1,Manhattan,Manhattan,1,2.0,18.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,0.7,1,Manhattan,Manhattan,2,0.0,11.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,2,1.5,1,Manhattan,Manhattan,1,3.45,20.75
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,3,5.31,1,Manhattan,Manhattan,1,4.66,27.96
2019-06-19,Wednesday,18,2019-06-19,Wednesday,19,6,2.15,1,Manhattan,Manhattan,2,0.0,18.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,3.65,1,Manhattan,Manhattan,1,4.46,26.76
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,0.91,1,Manhattan,Manhattan,1,2.45,12.25
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,0.0,1,Manhattan,Manhattan,1,1.95,11.75
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,3,1.16,1,Manhattan,Manhattan,1,1.0,12.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.5,1,Manhattan,Manhattan,1,0.0,15.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.2,1,Manhattan,Manhattan,1,3.0,17.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.76,1,Manhattan,Manhattan,1,2.46,14.76
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.34,1,Manhattan,Manhattan,1,2.86,17.16
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,3.62,1,Manhattan,Manhattan,1,3.0,22.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,20,1,10.2,1,Queens,Manhattan,1,8.85,53.27
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,0,3.5,1,Manhattan,Manhattan,2,0.0,20.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.09,1,Manhattan,Manhattan,2,0.0,11.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,2.7,1,Brooklyn,Brooklyn,1,3.2,16.0
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,5,2.1,1,Manhattan,Manhattan,1,2.76,16.56
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.81,1,Manhattan,Manhattan,1,3.08,15.38
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,0.5,1,Manhattan,Manhattan,1,1.65,9.95
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,2,1.09,1,Manhattan,Manhattan,1,1.0,11.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,0.79,1,Manhattan,Manhattan,1,1.86,11.16
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.34,1,Manhattan,Manhattan,2,0.0,12.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,0.15,1,Manhattan,Manhattan,1,1.46,8.76
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,2,0.91,1,Manhattan,Manhattan,1,2.06,12.36
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,0.5,1,Manhattan,Manhattan,2,0.0,8.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,0.98,1,Manhattan,Manhattan,1,2.16,12.96
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.91,1,Manhattan,Manhattan,1,1.11,15.91
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,2,0.89,1,Manhattan,Manhattan,2,0.0,10.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,20,1,2.3,1,Manhattan,Manhattan,1,5.08,25.38
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.4,1,Manhattan,Manhattan,1,2.46,14.76
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.47,1,Manhattan,Manhattan,1,1.0,12.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,20,4,1.4,1,Manhattan,Manhattan,1,3.55,21.35
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.21,1,Manhattan,Manhattan,1,2.96,17.76
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,1.4,1,Manhattan,Manhattan,1,2.35,14.15
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,5,0.58,1,Manhattan,Manhattan,2,0.0,9.3
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,5.12,1,Manhattan,Manhattan,1,3.0,23.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,2.81,1,Manhattan,Manhattan,1,1.5,22.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,2,0.38,1,Manhattan,Manhattan,2,0.0,9.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,1,2.25,1,Manhattan,Manhattan,1,3.16,18.96
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,4,1.86,1,Manhattan,Manhattan,1,4.33,21.63
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,3,0.53,1,Manhattan,Manhattan,2,0.0,8.8
2019-06-19,Wednesday,19,2019-06-19,Wednesday,19,2,1.54,1,Manhattan,Manhattan,1,2.86,17.16
2019-06-19,Wednesday,19,2019-06-19,Wednesday,20,1,0.9,1,Manhattan,Manhattan,1,3.39,14.69
