pickup_date,pickup_day_of_week,pickup_hour,dropoff_date,dropoff_day_of_week,dropoff_hour,passenger_count,trip_distance,RatecodeID,pickup_location,dropoff_location,total_amount
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,8.44,1,LaGuardia Airport,Penn Station/Madison Sq West,44.9
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,3.12,1,West Chelsea/Hudson Yards,Central Park,15.8
2019-06-23,Sunday,13,2019-06-23,Sunday,13,3,2.47,1,Kips Bay,Lenox Hill East,17.3
2019-06-23,Sunday,13,2019-06-23,Sunday,14,1,2.4,1,Upper West Side South,Times Sq/Theatre District,20.75
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,17.03,2,JFK Airport,Lenox Hill East,69.12
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,3.75,1,Financial District South,Penn Station/Madison Sq West,22.56
2019-06-23,Sunday,13,2019-06-23,Sunday,14,1,16.6,2,Garment District,JFK Airport,71.42
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,1.85,1,Times Sq/Theatre District,Lincoln Square East,16.56
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,0.8,1,Lenox Hill West,Yorkville East,9.55
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,1.1,1,Upper East Side North,Upper East Side South,9.86
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,0.2,1,Stuy Town/Peter Cooper Village,Gramercy,8.8
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,1.0,1,Penn Station/Madison Sq West,West Chelsea/Hudson Yards,12.85
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,1.6,1,Lenox Hill West,Yorkville West,12.35
2019-06-23,Sunday,13,2019-06-23,Sunday,13,3,2.73,1,Upper East Side North,UN/Turtle Bay South,14.3
2019-06-23,Sunday,13,2019-06-23,Sunday,14,1,2.42,1,Central Park,Central Harlem,17.16
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,1.69,1,East Chelsea,Clinton West,17.02
2019-06-23,Sunday,13,2019-06-23,Sunday,13,3,0.9,1,Clinton West,Midtown North,8.8
2019-06-23,Sunday,13,2019-06-23,Sunday,13,0,3.4,1,Gramercy,Upper East Side North,23.15
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,2.34,1,Murray Hill,Kips Bay,19.3
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,3.79,1,East Harlem South,Midtown Center,21.3
2019-06-23,Sunday,13,2019-06-23,Sunday,13,6,2.78,1,Midtown East,East Village,19.8
2019-06-23,Sunday,13,2019-06-23,Sunday,13,6,6.52,1,Boerum Hill,Boerum Hill,28.56
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,1.86,1,Midtown South,Lincoln Square West,15.36
2019-06-23,Sunday,13,2019-06-23,Sunday,13,4,0.84,1,Garment District,Midtown North,11.3
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,16.9,2,JFK Airport,Midtown Center,76.77
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,1.89,1,Stuy Town/Peter Cooper Village,Penn Station/Madison Sq West,16.28
2019-06-23,Sunday,13,2019-06-23,Sunday,13,5,0.87,1,Upper East Side North,Yorkville West,8.3
