pickup_date,pickup_day_of_week,pickup_hour,dropoff_date,dropoff_day_of_week,dropoff_hour,passenger_count,trip_distance,RatecodeID,pickup_location,dropoff_location,total_amount
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,2,2.68,1,Clinton East,Upper East Side North,17.3
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,0.5,1,Lincoln Square East,Lincoln Square East,9.95
2019-06-12,Wednesday,5,2019-06-12,Wednesday,5,1,7.72,1,Sutton Place/Turtle Bay North,Seaport,33.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,4.85,1,Times Sq/Theatre District,Seaport,25.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,1.7,1,Yorkville East,Upper West Side South,12.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,3.5,1,Hudson Sq,Midtown East,27.35
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,2.6,1,Central Harlem North,Mott Haven/Port Morris,12.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,11,2,23.1,1,Flatiron,Flatlands,73.42
2019-06-12,Wednesday,9,2019-06-12,Wednesday,10,1,17.45,1,Clinton East,Steinway,63.92
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,0.8,1,Little Italy/NoLiTa,East Village,9.75
2019-06-12,Wednesday,10,2019-06-12,Wednesday,11,1,1.2,1,Greenwich Village North,Penn Station/Madison Sq West,10.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,1.9,1,Midtown North,Flatiron,18.35
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,5.77,1,JFK Airport,Briarwood/Jamaica Hills,18.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,2,2.14,1,Murray Hill,Upper East Side South,19.3
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,1.21,1,Midtown Center,Union Sq,11.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,2.2,1,Union Sq,Battery Park City,16.55
2019-06-12,Wednesday,10,2019-06-12,Wednesday,11,1,2.2,1,Lincoln Square East,UN/Turtle Bay South,18.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,1.72,1,Midwood,Flatbush/Ditmas Park,8.3
2019-06-12,Wednesday,10,2019-06-12,Wednesday,11,1,2.5,1,Penn Station/Madison Sq West,Midtown East,26.0
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,2,1.38,1,Lincoln Square East,Garment District,14.76
2019-06-12,Wednesday,10,2019-06-12,Wednesday,11,1,3.8,1,Midtown North,Hudson Sq,29.15
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,1.56,1,Morningside Heights,East Harlem North,9.3
2019-06-12,Wednesday,10,2019-06-12,Wednesday,11,1,10.1,1,Garment District,LaGuardia Airport,55.67
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,1.4,1,Murray Hill,Upper East Side South,15.35
2019-06-12,Wednesday,10,2019-06-12,Wednesday,11,1,1.57,1,Murray Hill,Clinton East,16.56
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,1.1,1,Upper East Side North,Upper East Side South,10.3
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,0.88,1,Union Sq,East Village,12.96
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,3,0.32,1,East Village,Greenwich Village North,8.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,2.29,1,Midtown East,Lower East Side,15.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,0.48,1,Upper East Side North,Central Park,8.58
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,1.35,1,Penn Station/Madison Sq West,Midtown Center,19.24
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,0.95,1,Union Sq,Murray Hill,11.76
2019-06-12,Wednesday,10,2019-06-12,Wednesday,11,1,4.76,1,Times Sq/Theatre District,World Trade Center,41.34
2019-06-12,Wednesday,10,2019-06-12,Wednesday,11,1,6.39,1,Steinway,Upper East Side North,29.3
2019-06-12,Wednesday,10,2019-06-12,Wednesday,11,1,10.52,1,UN/Turtle Bay South,LaGuardia Airport,43.42
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,1.11,1,Little Italy/NoLiTa,Greenwich Village North,9.3
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,1.67,1,Upper East Side North,Lenox Hill West,12.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,5,8.83,1,LaGuardia Airport,Times Sq/Theatre District,48.5
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,0,0.5,1,Garment District,Times Sq/Theatre District,8.3
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,0.6,1,Lincoln Square East,Clinton East,8.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,1.32,1,Sutton Place/Turtle Bay North,Yorkville East,11.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,1.53,1,Times Sq/Theatre District,West Chelsea/Hudson Yards,11.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,0.31,1,East Harlem South,East Harlem South,4.3
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,6,0.95,1,Gramercy,Gramercy,12.3
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,3,1.85,1,Gramercy,Sutton Place/Turtle Bay North,14.7
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,1.2,1,Clinton East,Midtown Center,25.3
2019-06-12,Wednesday,10,2019-06-12,Wednesday,11,1,17.7,2,JFK Airport,Clinton East,73.7
2019-06-12,Wednesday,10,2019-06-12,Wednesday,11,1,8.96,1,LaGuardia Airport,Midtown Center,53.16
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,1.14,1,Times Sq/Theatre District,UN/Turtle Bay South,11.3
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,0,0.5,1,Yorkville East,Upper East Side North,9.3
2019-06-12,Wednesday,10,2019-06-12,Wednesday,11,1,1.3,1,Lincoln Square East,Midtown Center,14.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,0.68,1,TriBeCa/Civic Center,World Trade Center,11.3
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,0.13,1,Midtown Center,Midtown Center,7.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,1.0,1,Flatiron,West Chelsea/Hudson Yards,12.7
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,1.36,1,Battery Park City,SoHo,10.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,2,1.84,1,Midtown East,Union Sq,18.96
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,2,1.4,1,Midtown North,Upper East Side North,20.0
2019-06-12,Wednesday,10,2019-06-12,Wednesday,11,1,0.99,1,Central Park,Upper East Side North,11.3
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,2,0.78,1,Midtown East,Murray Hill,10.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,4.29,1,Clinton East,Two Bridges/Seward Park,27.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,11,1,24.23,1,JFK Airport,Sunset Park West,70.3
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,1.67,1,Upper West Side South,Upper East Side South,12.3
2019-06-12,Wednesday,9,2019-06-12,Wednesday,10,2,0.91,1,Lenox Hill East,Upper East Side South,9.8
2019-06-12,Wednesday,10,2019-06-12,Wednesday,10,1,0.65,1,West Village,SoHo,12.96
2019-06-12,Wednesday,10,2019-06-12,Wednesday,11,1,11.38,1,LaGuardia Airport,Garment District,47.42
2019-06-12,Wednesday,10,2019-06-12,Wednesday,11,5,2.13,1,Midtown North,Union Sq,24.44
