pickup_date,pickup_day_of_week,pickup_hour,dropoff_date,dropoff_day_of_week,dropoff_hour,passenger_count,trip_distance,RatecodeID,pickup_location,dropoff_location,payment_type,tip_amount,total_amount
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,2.29,1,Manhattan,Manhattan,2,0.0,21.3
2019-06-27,Thursday,9,2019-06-27,Thursday,10,1,0.61,1,Manhattan,Manhattan,1,1.95,9.75
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,0.3,1,Manhattan,Manhattan,1,0.95,7.25
2019-06-27,Thursday,9,2019-06-27,Thursday,10,1,0.2,1,Unknown,Brooklyn,2,0.0,4.8
2019-06-27,Thursday,9,2019-06-27,Thursday,9,2,0.7,1,Manhattan,Manhattan,2,0.0,9.3
2019-06-27,Thursday,9,2019-06-27,Thursday,10,1,1.4,1,Manhattan,Manhattan,2,0.0,16.3
2019-06-27,Thursday,9,2019-06-27,Thursday,10,1,12.69,1,Queens,Manhattan,2,0.0,50.92
2019-06-27,Thursday,9,2019-06-27,Thursday,9,2,0.77,1,Manhattan,Manhattan,1,1.96,11.76
2019-06-27,Thursday,9,2019-06-27,Thursday,10,2,2.22,1,Manhattan,Manhattan,1,6.82,34.12
2019-06-27,Thursday,9,2019-06-27,Thursday,9,5,1.88,1,Manhattan,Manhattan,1,2.46,14.76
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,1.5,1,Manhattan,Manhattan,1,2.46,14.76
2019-06-27,Thursday,9,2019-06-27,Thursday,10,2,13.49,1,Manhattan,Queens,1,10.36,62.16
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,0.4,1,Manhattan,Manhattan,1,0.0,7.3
2019-06-27,Thursday,9,2019-06-27,Thursday,10,1,1.84,1,Manhattan,Manhattan,1,4.46,26.76
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,1.86,1,Manhattan,Manhattan,1,2.0,15.3
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,0.22,1,Manhattan,Manhattan,1,1.46,8.76
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,1.11,1,Manhattan,Manhattan,2,0.0,15.3
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,5.1,1,Manhattan,Manhattan,2,0.0,27.3
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,1.9,1,Manhattan,Manhattan,1,1.3,12.6
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,0.6,1,Manhattan,Manhattan,1,1.95,11.75
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,7.96,1,Manhattan,Manhattan,1,3.7,32.0
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,0.6,1,Unknown,Manhattan,1,0.95,5.75
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,1.4,1,Manhattan,Manhattan,1,4.25,25.55
2019-06-27,Thursday,9,2019-06-27,Thursday,9,3,2.56,1,Manhattan,Manhattan,1,3.66,21.96
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,2.4,1,Manhattan,Manhattan,2,0.0,17.8
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,0.6,1,Manhattan,Manhattan,1,1.55,9.35
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,4.9,1,Manhattan,Manhattan,2,0.0,20.3
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,2.76,1,Manhattan,Manhattan,1,5.45,27.25
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,0.96,1,Manhattan,Manhattan,1,3.95,19.75
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,1.44,1,Manhattan,Manhattan,1,2.0,14.8
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,1.7,1,Manhattan,Manhattan,2,0.0,14.8
2019-06-27,Thursday,9,2019-06-27,Thursday,10,1,1.3,1,Manhattan,Manhattan,1,2.36,14.16
2019-06-27,Thursday,9,2019-06-27,Thursday,10,1,4.5,1,Queens,Queens,2,0.0,15.8
2019-06-27,Thursday,9,2019-06-27,Thursday,10,5,1.3,1,Manhattan,Manhattan,2,0.0,12.3
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,2.23,1,Manhattan,Manhattan,1,3.36,20.16
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,0.8,1,Manhattan,Manhattan,1,1.65,9.95
2019-06-27,Thursday,9,2019-06-27,Thursday,9,2,0.9,1,Manhattan,Manhattan,2,0.0,10.8
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,1.0,1,Manhattan,Manhattan,2,0.0,13.8
2019-06-27,Thursday,9,2019-06-27,Thursday,10,2,1.78,1,Manhattan,Manhattan,1,4.36,26.16
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,1.79,1,Manhattan,Manhattan,1,1.53,16.83
2019-06-27,Thursday,9,2019-06-27,Thursday,10,1,2.4,1,Queens,Manhattan,1,3.45,20.75
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,2.2,1,Manhattan,Manhattan,1,4.2,21.0
2019-06-27,Thursday,9,2019-06-27,Thursday,10,2,1.17,1,Manhattan,Manhattan,1,2.86,17.16
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,3.9,1,Manhattan,Manhattan,1,2.08,22.88
2019-06-27,Thursday,9,2019-06-27,Thursday,10,1,1.4,1,Manhattan,Manhattan,1,0.0,20.8
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,1.5,1,Manhattan,Manhattan,1,1.43,15.73
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,1.78,1,Manhattan,Manhattan,1,0.0,10.3
2019-06-27,Thursday,9,2019-06-27,Thursday,10,1,2.14,1,Manhattan,Manhattan,2,0.0,18.8
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,0.9,1,Manhattan,Manhattan,2,0.0,12.8
2019-06-27,Thursday,9,2019-06-27,Thursday,10,1,1.45,1,Manhattan,Manhattan,1,2.56,15.36
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,5.0,1,Manhattan,Manhattan,1,2.0,26.3
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,1.4,1,Manhattan,Manhattan,1,3.2,14.0
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,0.54,1,Manhattan,Manhattan,1,1.56,9.36
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,1.18,1,Manhattan,Manhattan,1,2.36,14.16
2019-06-27,Thursday,9,2019-06-27,Thursday,10,1,2.5,1,Manhattan,Manhattan,1,3.65,21.95
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,0.39,1,Manhattan,Manhattan,1,1.76,10.56
2019-06-27,Thursday,8,2019-06-27,Thursday,8,1,9.92,1,Manhattan,Queens,1,10.48,52.4
2019-06-27,Thursday,9,2019-06-27,Thursday,9,2,0.1,1,Manhattan,Manhattan,1,1.0,7.8
2019-06-27,Thursday,9,2019-06-27,Thursday,10,6,1.54,1,Manhattan,Manhattan,1,2.66,15.96
2019-06-27,Thursday,9,2019-06-27,Thursday,10,2,5.75,1,Manhattan,Manhattan,1,5.46,32.76
2019-06-27,Thursday,9,2019-06-27,Thursday,10,1,1.8,1,Manhattan,Manhattan,1,4.4,19.2
2019-06-27,Thursday,9,2019-06-27,Thursday,10,1,2.1,1,Manhattan,Manhattan,1,2.65,15.95
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,1.27,1,Manhattan,Manhattan,2,0.0,8.3
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,1.3,1,Manhattan,Manhattan,1,2.56,15.36
2019-06-27,Thursday,9,2019-06-27,Thursday,9,6,0.78,1,Manhattan,Manhattan,2,0.0,9.8
2019-06-27,Thursday,9,2019-06-27,Thursday,9,6,1.94,1,Manhattan,Manhattan,1,2.26,13.56
2019-06-27,Thursday,9,2019-06-27,Thursday,9,5,1.24,1,Manhattan,Manhattan,2,0.0,10.3
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,2.0,1,Manhattan,Manhattan,2,0.0,16.3
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,0.8,1,Manhattan,Manhattan,1,2.16,12.96
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,1.01,1,Manhattan,Manhattan,2,0.0,15.3
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,0.9,1,Queens,Queens,1,1.15,6.95
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,1.66,1,Manhattan,Manhattan,2,0.0,9.3
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,0.69,1,Manhattan,Manhattan,1,2.26,13.56
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,1.08,1,Manhattan,Manhattan,1,1.76,11.56
2019-06-27,Thursday,9,2019-06-27,Thursday,11,1,0.0,1,Queens,Manhattan,1,0.0,78.12
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,1.21,1,Manhattan,Manhattan,1,4.14,17.94
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,0.82,1,Manhattan,Manhattan,2,0.0,8.8
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,0.28,1,Manhattan,Manhattan,2,0.0,7.3
2019-06-27,Thursday,9,2019-06-27,Thursday,9,1,3.44,1,Manhattan,Queens,1,5.88,35.3
