pickup_date,pickup_day_of_week,pickup_hour,dropoff_date,dropoff_day_of_week,dropoff_hour,passenger_count,trip_distance,RatecodeID,pickup_location,dropoff_location,total_amount
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,2.0,1,Midtown East,East Chelsea,17.3
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,1.53,1,Clinton East,Upper West Side South,12.3
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,1.5,1,Lower East Side,Financial District North,13.8
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,1.28,1,Greenwich Village South,Hudson Sq,13.56
2019-06-01,Saturday,0,2019-06-01,Saturday,0,4,3.35,1,Midtown East,Lower East Side,24.36
2019-06-01,Saturday,0,2019-06-01,Saturday,0,3,1.0,1,Kips Bay,UN/Turtle Bay South,11.1
2019-06-01,Saturday,0,2019-06-01,Saturday,1,2,1.4,1,West Village,TriBeCa/Civic Center,14.75
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,2.8,1,Upper West Side North,Midtown Center,17.15
2019-06-01,Saturday,0,2019-06-01,Saturday,1,1,6.95,1,East Village,Astoria,37.88
2019-06-01,Saturday,0,2019-06-01,Saturday,0,3,1.04,1,Manhattanville,Central Harlem,7.8
2019-06-01,Saturday,0,2019-06-01,Saturday,1,1,10.5,1,Union Sq,Washington Heights South,50.15
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,1.9,1,East Village,Penn Station/Madison Sq West,15.95
2019-05-31,Friday,23,2019-06-01,Saturday,0,5,1.89,1,Gramercy,Little Italy/NoLiTa,20.16
2019-06-01,Saturday,0,2019-06-01,Saturday,1,2,2.6,1,UN/Turtle Bay South,Little Italy/NoLiTa,18.35
2019-06-01,Saturday,0,2019-06-01,Saturday,1,1,4.43,1,Midtown Center,Astoria,30.36
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,2.26,1,Lincoln Square East,Penn Station/Madison Sq West,17.16
2019-06-01,Saturday,0,2019-06-01,Saturday,1,1,4.51,1,Greenwich Village North,Boerum Hill,24.36
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,0.6,1,Murray Hill,Garment District,7.8
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,2.6,1,Clinton East,Union Sq,19.75
2019-06-01,Saturday,0,2019-06-01,Saturday,0,2,2.73,1,Lincoln Square East,Morningside Heights,17.88
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,3.3,1,East Williamsburg,Long Island City/Hunters Point,18.36
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,0.79,1,Midtown Center,Garment District,12.74
2019-06-01,Saturday,0,2019-06-01,Saturday,1,1,9.53,1,Yorkville East,Schuylerville/Edgewater Park,32.3
2019-06-01,Saturday,0,2019-06-01,Saturday,0,5,1.22,1,Kips Bay,Sutton Place/Turtle Bay North,12.88
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,5.0,1,Clinton East,Manhattanville,23.8
2019-06-01,Saturday,0,2019-06-01,Saturday,0,2,2.99,1,Greenwich Village North,Lenox Hill East,19.12
2019-06-01,Saturday,0,2019-06-01,Saturday,0,2,1.4,1,Upper East Side North,Upper West Side South,13.55
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,1.19,1,East Village,Lower East Side,12.96
2019-06-01,Saturday,0,2019-06-01,Saturday,0,3,1.56,1,East Village,Midtown South,14.12
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,3.7,1,Financial District South,Fort Greene,22.56
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,1.03,1,TriBeCa/Civic Center,Financial District North,11.16
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,4.84,1,Upper West Side North,West Village,24.96
2019-06-01,Saturday,0,2019-06-01,Saturday,0,2,1.1,1,West Village,West Chelsea/Hudson Yards,12.95
2019-06-01,Saturday,0,2019-06-01,Saturday,0,2,2.39,1,Greenwich Village South,Murray Hill,16.0
2019-06-01,Saturday,0,2019-06-01,Saturday,1,1,3.2,1,Meatpacking/West Village West,Financial District South,20.5
2019-06-01,Saturday,0,2019-06-01,Saturday,1,1,3.84,1,Park Slope,Two Bridges/Seward Park,18.3
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,0.15,1,Garment District,Clinton East,6.8
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,0.41,1,Clinton East,Lincoln Square East,7.3
2019-06-01,Saturday,0,2019-06-01,Saturday,1,5,7.6,1,Upper East Side South,Soundview/Bruckner,29.3
2019-06-01,Saturday,0,2019-06-01,Saturday,0,3,1.6,1,Upper West Side South,Central Park,13.55
2019-06-01,Saturday,0,2019-06-01,Saturday,0,2,5.37,1,Seaport,Midtown East,22.3
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,1.95,1,Midtown South,Clinton East,13.8
2019-06-01,Saturday,0,2019-06-01,Saturday,0,2,4.9,1,Williamsburg (South Side),Downtown Brooklyn/MetroTech,21.8
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,3.3,1,West Village,Lenox Hill West,18.48
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,1.15,1,Midtown Center,Union Sq,11.76
2019-06-01,Saturday,0,2019-06-01,Saturday,0,5,2.03,1,Flatiron,TriBeCa/Civic Center,15.96
2019-06-01,Saturday,0,2019-06-01,Saturday,1,2,1.9,1,East Village,West Village,15.95
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,0.81,1,Cobble Hill,Boerum Hill,8.76
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,2.0,1,Alphabet City,Murray Hill,16.55
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,1.1,1,Gramercy,East Village,11.88
2019-06-01,Saturday,0,2019-06-01,Saturday,0,2,1.5,1,Union Sq,Clinton East,14.76
2019-06-01,Saturday,0,2019-06-01,Saturday,0,6,1.85,1,Williamsburg (South Side),Bedford,11.16
2019-06-01,Saturday,0,2019-06-01,Saturday,0,1,1.02,1,West Village,Union Sq,11.16
