pickup_date,pickup_day_of_week,pickup_hour,dropoff_date,dropoff_day_of_week,dropoff_hour,passenger_count,trip_distance,RatecodeID,pickup_location,dropoff_location,payment_type,tip_amount,total_amount
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,8.44,1,Queens,Manhattan,1,8.98,44.9
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,3.12,1,Manhattan,Manhattan,2,0.0,15.8
2019-06-23,Sunday,13,2019-06-23,Sunday,13,3,2.47,1,Manhattan,Manhattan,1,2.0,17.3
2019-06-23,Sunday,13,2019-06-23,Sunday,14,1,2.4,1,Manhattan,Manhattan,1,3.45,20.75
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,17.03,2,Queens,Manhattan,1,13.82,69.12
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,3.75,1,Manhattan,Manhattan,1,3.76,22.56
2019-06-23,Sunday,13,2019-06-23,Sunday,14,1,16.6,2,Manhattan,Queens,1,10.0,71.42
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,1.85,1,Manhattan,Manhattan,1,2.76,16.56
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,0.8,1,Manhattan,Manhattan,1,1.25,9.55
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,1.1,1,Manhattan,Manhattan,1,1.06,9.86
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,0.2,1,Manhattan,Manhattan,1,1.0,8.8
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,1.0,1,Manhattan,Manhattan,1,2.55,12.85
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,1.6,1,Manhattan,Manhattan,1,2.05,12.35
2019-06-23,Sunday,13,2019-06-23,Sunday,13,3,2.73,1,Manhattan,Manhattan,2,0.0,14.3
2019-06-23,Sunday,13,2019-06-23,Sunday,14,1,2.42,1,Manhattan,Manhattan,1,2.86,17.16
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,1.69,1,Manhattan,Manhattan,1,2.22,17.02
2019-06-23,Sunday,13,2019-06-23,Sunday,13,3,0.9,1,Manhattan,Manhattan,2,0.0,8.8
2019-06-23,Sunday,13,2019-06-23,Sunday,13,0,3.4,1,Manhattan,Manhattan,1,3.85,23.15
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,2.34,1,Manhattan,Manhattan,1,3.0,19.3
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,3.79,1,Manhattan,Manhattan,1,5.0,21.3
2019-06-23,Sunday,13,2019-06-23,Sunday,13,6,2.78,1,Manhattan,Manhattan,1,5.0,19.8
2019-06-23,Sunday,13,2019-06-23,Sunday,13,6,6.52,1,Brooklyn,Brooklyn,1,4.76,28.56
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,1.86,1,Manhattan,Manhattan,1,2.56,15.36
2019-06-23,Sunday,13,2019-06-23,Sunday,13,4,0.84,1,Manhattan,Manhattan,1,2.0,11.3
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,16.9,2,Queens,Manhattan,1,15.35,76.77
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,1.89,1,Manhattan,Manhattan,1,1.48,16.28
2019-06-23,Sunday,13,2019-06-23,Sunday,13,5,0.87,1,Manhattan,Manhattan,2,0.0,8.3
2019-06-23,Sunday,13,2019-06-23,Sunday,14,1,4.4,1,Manhattan,Manhattan,1,5.45,32.75
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,1.1,1,Manhattan,Manhattan,1,1.86,11.16
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,1.03,1,Manhattan,Manhattan,2,0.0,9.3
2019-06-23,Sunday,13,2019-06-23,Sunday,14,5,16.89,2,Manhattan,Queens,1,15.36,76.78
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,2.05,1,Manhattan,Manhattan,1,2.46,14.76
2019-06-23,Sunday,13,2019-06-23,Sunday,13,2,2.29,1,Manhattan,Manhattan,1,2.2,18.0
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,1.73,1,Manhattan,Manhattan,1,2.36,14.16
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,0.11,5,Brooklyn,Brooklyn,1,8.0,48.8
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,0.68,1,Manhattan,Manhattan,2,0.0,7.3
2019-06-23,Sunday,13,2019-06-23,Sunday,14,2,5.76,1,Manhattan,Manhattan,1,4.56,27.36
2019-06-23,Sunday,13,2019-06-23,Sunday,14,1,17.11,2,Manhattan,Queens,1,15.36,76.78
2019-06-23,Sunday,13,2019-06-23,Sunday,13,2,1.85,1,Manhattan,Manhattan,1,2.82,14.12
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,1.1,1,Manhattan,Manhattan,2,0.0,8.8
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,1.71,1,Manhattan,Manhattan,1,0.59,12.39
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,0.66,1,Manhattan,Manhattan,1,1.56,9.36
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,1.44,1,Manhattan,Manhattan,1,2.26,13.56
2019-06-23,Sunday,13,2019-06-23,Sunday,14,6,2.8,1,Manhattan,Manhattan,1,4.59,19.89
2019-06-23,Sunday,13,2019-06-23,Sunday,13,2,1.59,1,Manhattan,Manhattan,1,2.66,15.96
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,1.8,1,Brooklyn,Brooklyn,1,0.0,11.3
2019-06-23,Sunday,13,2019-06-23,Sunday,14,3,9.67,1,Queens,Manhattan,1,6.76,40.56
2019-06-23,Sunday,13,2019-06-23,Sunday,14,1,8.3,1,Queens,Manhattan,1,7.75,46.67
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,3.64,1,Manhattan,Manhattan,1,3.0,20.8
2019-06-23,Sunday,13,2019-06-23,Sunday,14,1,0.46,1,Manhattan,Manhattan,2,0.0,8.3
2019-06-23,Sunday,13,2019-06-23,Sunday,14,1,1.0,1,Manhattan,Manhattan,1,1.65,9.95
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,3.18,1,Manhattan,Manhattan,1,1.0,15.3
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,1.09,1,Manhattan,Manhattan,2,0.0,7.8
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,1.2,1,Manhattan,Manhattan,1,1.96,11.76
2019-06-23,Sunday,12,2019-06-23,Sunday,13,1,7.74,1,Manhattan,Manhattan,1,5.36,32.16
2019-06-23,Sunday,13,2019-06-23,Sunday,13,5,0.87,1,Manhattan,Manhattan,1,1.56,9.36
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,8.89,1,Queens,Manhattan,1,4.0,38.92
2019-06-23,Sunday,13,2019-06-23,Sunday,13,6,0.26,5,Manhattan,Manhattan,1,13.36,80.16
2019-06-23,Sunday,13,2019-06-23,Sunday,13,2,0.7,1,Manhattan,Manhattan,1,1.75,10.55
2019-06-23,Sunday,13,2019-06-23,Sunday,13,2,1.15,1,Manhattan,Manhattan,2,0.0,10.3
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,1.86,1,Manhattan,Manhattan,1,3.08,15.38
2019-06-23,Sunday,13,2019-06-23,Sunday,13,1,1.13,1,Manhattan,Manhattan,1,3.09,13.39
