pickup_date,pickup_day_of_week,pickup_hour,dropoff_date,dropoff_day_of_week,dropoff_hour,passenger_count,trip_distance,RatecodeID,pickup_location,dropoff_location,payment_type,tip_amount,total_amount
2019-06-08,Saturday,11,2019-06-08,Saturday,11,1,1.6,1,Manhattan,Manhattan,1,2.15,12.95
2019-06-08,Saturday,11,2019-06-08,Saturday,11,1,6.34,1,Manhattan,Brooklyn,1,6.58,39.5
2019-06-08,Saturday,11,2019-06-08,Saturday,11,1,0.3,1,Manhattan,Manhattan,1,1.25,7.55
2019-06-08,Saturday,11,2019-06-08,Saturday,11,2,1.22,1,Manhattan,Manhattan,1,1.0,12.3
2019-06-08,Saturday,11,2019-06-08,Saturday,11,2,1.32,1,Manhattan,Manhattan,2,0.0,10.8
2019-06-08,Saturday,11,2019-06-08,Saturday,11,1,0.97,1,Manhattan,Manhattan,1,1.76,10.56
2019-06-08,Saturday,11,2019-06-08,Saturday,11,1,0.37,1,Manhattan,Manhattan,1,1.36,8.16
2019-06-08,Saturday,11,2019-06-08,Saturday,12,1,1.29,1,Manhattan,Manhattan,1,2.76,16.56
2019-06-08,Saturday,11,2019-06-08,Saturday,12,1,4.18,1,Manhattan,Manhattan,2,0.0,21.8
2019-06-08,Saturday,11,2019-06-08,Saturday,11,1,4.3,1,Manhattan,Manhattan,2,0.0,19.3
2019-06-08,Saturday,11,2019-06-08,Saturday,11,1,0.27,1,Manhattan,Manhattan,1,1.76,10.56
2019-06-08,Saturday,11,2019-06-08,Saturday,11,1,1.48,1,Manhattan,Manhattan,1,2.36,14.16
2019-06-08,Saturday,11,2019-06-08,Saturday,11,3,0.84,1,Manhattan,Manhattan,1,1.76,10.56
2019-06-08,Saturday,11,2019-06-08,Saturday,11,1,0.75,1,Manhattan,Manhattan,1,1.66,9.96
2019-06-08,Saturday,11,2019-06-08,Saturday,12,2,5.37,1,Manhattan,Manhattan,1,4.66,27.96
2019-06-08,Saturday,11,2019-06-08,Saturday,11,1,2.48,1,Manhattan,Manhattan,2,0.0,14.3
2019-06-08,Saturday,11,2019-06-08,Saturday,12,1,4.44,1,Manhattan,Manhattan,2,0.0,25.3
2019-06-08,Saturday,11,2019-06-08,Saturday,12,1,3.1,1,Manhattan,Manhattan,1,3.56,21.36
2019-06-08,Saturday,11,2019-06-08,Saturday,11,1,1.2,1,Manhattan,Manhattan,2,0.0,11.8
2019-06-08,Saturday,11,2019-06-08,Saturday,11,1,3.85,1,Manhattan,Brooklyn,1,3.86,23.16
2019-06-08,Saturday,11,2019-06-08,Saturday,12,1,1.3,1,Manhattan,Manhattan,1,2.05,14.85
2019-06-08,Saturday,11,2019-06-08,Saturday,11,3,1.2,1,Manhattan,Manhattan,1,2.25,13.55
2019-06-08,Saturday,11,2019-06-08,Saturday,12,4,5.21,1,Manhattan,Manhattan,2,0.0,22.3
