pickup_date,pickup_day_of_week,pickup_hour,dropoff_date,dropoff_day_of_week,dropoff_hour,passenger_count,trip_distance,RatecodeID,pickup_location,dropoff_location,total_amount
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,1.83,1,Upper West Side North,Central Harlem,16.56
2019-06-15,Saturday,20,2019-06-15,Saturday,21,2,2.18,1,West Village,Kips Bay,16.81
2019-06-15,Saturday,19,2019-06-15,Saturday,20,2,7.38,1,East Chelsea,Hamilton Heights,28.3
2019-06-15,Saturday,20,2019-06-15,Saturday,20,4,1.47,1,West Village,Lower East Side,15.96
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,0.8,1,Upper East Side North,Upper East Side South,9.68
2019-06-15,Saturday,20,2019-06-15,Saturday,21,1,3.8,1,West Chelsea/Hudson Yards,Alphabet City,22.8
2019-06-15,Saturday,20,2019-06-15,Saturday,20,2,4.1,1,Yorkville West,Gramercy,20.75
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,3.79,1,Clinton East,Yorkville East,22.56
2019-06-15,Saturday,20,2019-06-15,Saturday,21,2,6.0,1,Meatpacking/West Village West,Yorkville East,33.35
2019-06-15,Saturday,20,2019-06-15,Saturday,20,4,1.36,1,Greenwich Village South,Penn Station/Madison Sq West,10.8
2019-06-15,Saturday,20,2019-06-15,Saturday,20,4,1.57,1,Penn Station/Madison Sq West,Midtown Center,14.16
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,0.98,1,Upper West Side South,Lincoln Square West,9.8
2019-06-15,Saturday,20,2019-06-15,Saturday,21,4,22.8,1,JFK Airport,Van Cortlandt Village,67.92
2019-06-15,Saturday,20,2019-06-15,Saturday,20,2,0.8,1,Midtown North,Central Park,10.3
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,1.77,1,Downtown Brooklyn/MetroTech,Chinatown,11.8
2019-06-15,Saturday,20,2019-06-15,Saturday,21,1,7.63,1,Garment District,Stuyvesant Heights,33.8
2019-06-15,Saturday,20,2019-06-15,Saturday,20,3,0.3,1,Penn Station/Madison Sq West,Garment District,7.8
2019-06-15,Saturday,20,2019-06-15,Saturday,20,4,1.83,1,Yorkville West,Upper West Side South,11.8
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,0.9,1,Greenwich Village South,East Village,11.3
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,1.2,1,Little Italy/NoLiTa,Alphabet City,14.15
2019-06-15,Saturday,20,2019-06-15,Saturday,20,2,0.9,1,Union Sq,Times Sq/Theatre District,9.3
2019-06-15,Saturday,21,2019-06-15,Saturday,21,2,1.09,1,Yorkville West,Lenox Hill West,14.3
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,0.8,1,Clinton East,Garment District,12.8
2019-06-15,Saturday,21,2019-06-15,Saturday,22,1,1.3,1,TriBeCa/Civic Center,Greenwich Village North,15.35
2019-06-15,Saturday,21,2019-06-15,Saturday,22,2,2.37,1,Midtown East,East Village,13.8
2019-06-15,Saturday,21,2019-06-15,Saturday,21,2,2.4,1,Murray Hill,Lincoln Square East,18.96
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,1.6,1,Kips Bay,East Village,14.75
2019-06-15,Saturday,21,2019-06-15,Saturday,21,2,2.14,1,Penn Station/Madison Sq West,Greenwich Village South,13.8
2019-06-15,Saturday,21,2019-06-15,Saturday,22,1,4.41,1,Flatiron,Williamsburg (North Side),29.16
2019-06-15,Saturday,21,2019-06-15,Saturday,21,2,1.3,1,East Village,Flatiron,14.15
2019-06-15,Saturday,21,2019-06-15,Saturday,22,1,0.9,1,UN/Turtle Bay South,Kips Bay,10.8
2019-06-15,Saturday,21,2019-06-15,Saturday,21,2,4.32,1,Upper East Side South,Meatpacking/West Village West,27.36
2019-06-15,Saturday,21,2019-06-15,Saturday,22,1,1.6,1,Lincoln Square East,Midtown East,14.75
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,2.37,1,Lincoln Square East,Upper West Side North,14.8
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,1.52,1,Sutton Place/Turtle Bay North,Lenox Hill West,9.8
2019-06-15,Saturday,21,2019-06-15,Saturday,21,2,1.67,1,Central Park,Upper West Side South,14.12
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,4.55,1,Clinton East,Two Bridges/Seward Park,27.96
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,0.87,1,East Village,Kips Bay,11.16
2019-06-15,Saturday,21,2019-06-15,Saturday,22,1,1.4,1,Times Sq/Theatre District,Union Sq,15.3
